City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
243,bucerias,20.75,-105.3333,25.99,57,40,5.66,MX,1680727256
244,sao joao de pirabas,-0.7747,-47.1772,23.83,96,100,1.69,BR,1680727257
245,cockburn town,21.4612,-71.1419,25.01,78,0,8.88,TC,1680727142
246,tongliao,43.6125,122.2653,1.73,17,37,2.06,CN,1680727257
247,saint-pierre,-21.3393,55.4781,24.82,73,75,2.06,RE,1680727009
248,thinadhoo,0.5333,72.9333,28.24,69,13,2.8,MV,1680727259
249,esperance,-33.8667,121.9,18.27,69,70,9.23,AU,1680727260
250,wollongong,-34.4333,150.8833,17.27,89,100,1.6,AU,1680727058
251,tomarovka,50.6834,36.2331,11.42,76,100,6.95,RU,1680727261
252,manama,26.2154,50.5832,23.29,54,0,1.03,BH,1680727261
253,mirzapur,25.15,82.5833,24.34,21,0,0.17,IN,1680727262
254,khatanga,71.9667,102.5,-32.44,100,63,3.21,RU,1680727265
255,nantai,40.9241,122.8044,4.09,35,93,1.41,CN,1680727267
256,sredniy ikorets,51.0675,39.7584,9.64,77,100,3.7,RU,1680727267
257,lompoc,34.6391,-120.4579,18.21,59,75,7.2,US,1680727175
258,pevek,69.7008,170.3133,-23.69,80,25,0.77,RU,1680727269
259,naze,28.3667,129.4833,19.51,87,100,7.37,JP,1680727270
260,tshane,-24.0196,21.8684,21.09,16,0,3.36,BW,1680727270
261,orodara,10.9492,-4.9342,28.2,44,58,1.01,BF,1680727271
262,manono,-7.3,27.4167,21.06,98,100,1.02,CD,1680727273
263,richards bay,-28.783,32.0377,19.64,83,67,2.15,ZA,1680727273
264,bambous virieux,-20.3428,57.7575,24.56,88,40,1.54,MU,1680727274
265,faanui,-16.4833,-151.75,28.07,69,11,3.17,PF,1680727275
266,lugoba,-6.45,38.3333,21.66,98,32,0.57,TZ,1680727276
267,tessalit,20.1986,1.0114,28.75,7,88,2.34,ML,1680727277
268,galesong,-5.3166,119.3661,23.01,77,100,1.52,ID,1680727279
269,saint-louis,16.3333,-15.0,31.13,14,36,8.47,SN,1680727280
270,sabang,5.8933,95.3214,27.48,72,100,0.87,ID,1680727280
271,podor,16.6527,-14.9587,30.57,15,21,7.64,MR,1680727281
272,maniitsoq,65.4167,-52.9,-2.53,57,9,6.06,GL,1680727282
273,dan khun thot,15.2085,101.7714,26.08,58,18,3.51,TH,1680727282
274,saint george,37.1041,-113.5841,11.91,21,0,3.58,US,1680727283
275,victoria,22.2855,114.1577,26.03,93,94,2.73,HK,1680727265
276,chaguanas,10.5167,-61.4167,29.97,57,20,7.72,TT,1680727284
277,clyde river,70.4692,-68.5914,-20.87,77,0,1.03,CA,1680727199
278,rawson,-43.3002,-65.1023,28.16,26,0,8.23,AR,1680727247
279,tautira,-17.7333,-149.15,27.71,74,53,3.55,PF,1680727286
280,eyl,7.9803,49.8164,27.44,78,30,4.7,SO,1680727288
281,dolores,-36.3132,-57.6792,20.41,59,70,5.66,AR,1680727289
